#Parabolic search strategy:
#p(d) = p_max - (p_max - p_min) * (d - 200 / 2sqrt2)^2 * (2sqrt2 / 200)^2
#System variables:
#Boundary type: 1
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p_min	p_max	<fpt>	<delta>
0.950	0.650	23959.738707	24.130559
0.950	0.700	22575.154039	22.697622
0.950	0.750	21353.784867	21.481533
0.950	0.800	20175.642365	20.205463
0.950	0.850	19075.969388	19.101673
0.950	0.900	18108.902651	18.141819
0.950	0.950	17193.625455	17.229930
0.950	1.000	19379.282479	19.421634

1.000	0.000	51420.502243	53.989147
1.000	0.050	47674.881448	49.842108
1.000	0.100	44519.812316	46.316614
1.000	0.150	41550.356058	43.193769
1.000	0.200	38869.413572	40.202606
1.000	0.250	36438.411685	37.508148
1.000	0.300	34230.732948	35.153647
1.000	0.350	32127.010279	32.936170
1.000	0.400	30251.557683	30.902420
1.000	0.450	28441.772466	28.987293
1.000	0.500	26750.181785	27.181068
1.000	0.550	25295.906744	25.671347
1.000	0.600	23849.911796	24.131907
1.000	0.650	22458.493493	22.662490
1.000	0.700	21225.687100	21.380258
1.000	0.750	20043.587427	20.173754
1.000	0.800	18970.367674	19.055164
1.000	0.850	17966.295571	17.969926
1.000	0.900	17067.582372	17.121120
1.000	0.950	16303.280291	16.299825
1.000	1.000	NaN	NaN
